district,latitude,longitude,terrain_risk,rainfall_risk,risk_score
Micro Zone,13.0,72.5,Moderate,Moderate,4
Micro Zone,13.0,73.0,Low,High,4
Micro Zone,13.0,73.5,Low,High,4
Micro Zone,13.0,74.0,Low,Moderate,3
Micro Zone,13.0,74.5,Low,Low,2
Micro Zone,13.0,75.0,Moderate,High,5
Micro Zone,13.0,75.5,Moderate,Moderate,4
Micro Zone,13.0,76.0,Low,High,4
Micro Zone,13.0,76.5,High,Moderate,5
Micro Zone,13.0,77.0,High,Moderate,5
Micro Zone,13.0,77.5,High,High,6
Micro Zone,13.0,78.0,Moderate,Moderate,4
Micro Zone,13.0,78.5,Moderate,High,5
Micro Zone,13.0,79.0,Low,Moderate,3
Micro Zone,13.0,79.5,Moderate,High,5
Micro Zone,13.0,80.0,Moderate,High,5
Micro Zone,13.0,80.5,High,Moderate,5
Micro Zone,13.0,81.0,Moderate,Low,3
Micro Zone,13.0,81.5,Low,Low,2
Micro Zone,13.0,82.0,High,High,6
Micro Zone,13.0,82.5,High,Moderate,5
Micro Zone,13.0,83.0,High,Moderate,5
Micro Zone,13.0,83.5,Moderate,Moderate,4
Micro Zone,13.0,84.0,Moderate,High,5
Micro Zone,13.0,84.5,High,Moderate,5
Micro Zone,13.0,85.0,Low,High,4
Micro Zone,13.0,85.5,Moderate,Moderate,4
Micro Zone,13.0,86.0,Low,Low,2
Micro Zone,13.0,86.5,High,Moderate,5
Micro Zone,13.0,87.0,Low,Moderate,3
Micro Zone,13.0,87.5,Low,High,4
Micro Zone,13.0,88.0,Low,High,4
Micro Zone,13.0,88.5,Moderate,Low,3
Micro Zone,13.0,89.0,Low,High,4
Micro Zone,13.0,89.5,Moderate,Moderate,4
Micro Zone,13.0,90.0,Moderate,Moderate,4
Micro Zone,13.0,90.5,Low,Low,2
Micro Zone,13.0,91.0,Moderate,Moderate,4
Micro Zone,13.0,91.5,Moderate,High,5
Micro Zone,13.0,92.0,Low,High,4
Micro Zone,13.0,92.5,Moderate,Low,3
Micro Zone,13.0,93.0,Low,High,4
Micro Zone,13.0,93.5,Low,Moderate,3
Micro Zone,13.0,94.0,High,Moderate,5
Micro Zone,13.0,94.5,Moderate,High,5
Micro Zone,13.0,95.0,Moderate,High,5
Micro Zone,13.0,95.5,Low,Moderate,3
Micro Zone,13.0,96.0,Moderate,High,5
Micro Zone,13.0,96.5,Low,High,4
Micro Zone,13.5,68.0,High,High,6
Micro Zone,13.5,68.5,High,High,6
Micro Zone,13.5,69.0,Moderate,Low,3
Micro Zone,13.5,69.5,High,High,6
Micro Zone,13.5,70.0,High,High,6
Micro Zone,13.5,70.5,Moderate,High,5
Micro Zone,13.5,71.0,Low,High,4
Micro Zone,13.5,71.5,High,High,6
Micro Zone,13.5,72.0,Low,Low,2
Micro Zone,13.5,72.5,High,High,6
Micro Zone,13.5,73.0,High,Moderate,5
Micro Zone,13.5,73.5,High,Low,4
Micro Zone,13.5,74.0,Moderate,Moderate,4
Micro Zone,13.5,74.5,High,Low,4
Micro Zone,13.5,75.0,High,High,6
Micro Zone,13.5,75.5,High,Moderate,5
Micro Zone,13.5,76.0,Low,Moderate,3
Micro Zone,13.5,76.5,High,High,6
Micro Zone,13.5,77.0,High,Moderate,5
Micro Zone,13.5,77.5,High,High,6
Micro Zone,13.5,78.0,Moderate,High,5
Micro Zone,13.5,78.5,Low,High,4
Micro Zone,13.5,79.0,Moderate,High,5
Micro Zone,13.5,79.5,Moderate,Low,3
Micro Zone,13.5,80.0,Moderate,Moderate,4
Micro Zone,13.5,80.5,Moderate,Moderate,4
Micro Zone,13.5,81.0,High,High,6
Micro Zone,13.5,81.5,Low,Moderate,3
Micro Zone,13.5,82.0,High,High,6
Micro Zone,13.5,82.5,High,Moderate,5
Micro Zone,13.5,83.0,Low,Moderate,3
Micro Zone,13.5,83.5,Moderate,High,5
Micro Zone,13.5,84.0,Low,Moderate,3
Micro Zone,13.5,84.5,Low,High,4
Micro Zone,13.5,85.0,Low,Low,2
Micro Zone,13.5,85.5,Low,Moderate,3
Micro Zone,13.5,86.0,High,Low,4
Micro Zone,13.5,86.5,High,Low,4
Micro Zone,13.5,87.0,High,Moderate,5
Micro Zone,13.5,87.5,Moderate,Moderate,4
Micro Zone,13.5,88.0,Low,Moderate,3
Micro Zone,13.5,88.5,Moderate,High,5
Micro Zone,13.5,89.0,High,Moderate,5
Micro Zone,13.5,89.5,High,Low,4
Micro Zone,13.5,90.0,High,Moderate,5
Micro Zone,13.5,90.5,High,High,6
Micro Zone,13.5,91.0,High,High,6
Micro Zone,13.5,91.5,Moderate,High,5
Micro Zone,13.5,92.0,Moderate,Low,3
Micro Zone,13.5,92.5,Low,High,4
Micro Zone,13.5,93.0,Low,High,4
Micro Zone,13.5,93.5,Low,Moderate,3
Micro Zone,13.5,94.0,Low,Low,2
Micro Zone,13.5,94.5,High,High,6
Micro Zone,13.5,95.0,Moderate,High,5
Micro Zone,13.5,95.5,High,Moderate,5
Micro Zone,13.5,96.0,High,Low,4
Micro Zone,13.5,96.5,Moderate,Low,3
Micro Zone,14.0,68.0,High,High,6
Micro Zone,14.0,68.5,High,Moderate,5
Micro Zone,14.0,69.0,High,Low,4
Micro Zone,14.0,69.5,High,High,6
Micro Zone,14.0,70.0,High,High,6
Micro Zone,14.0,70.5,Moderate,High,5
Micro Zone,14.0,71.0,High,High,6
Micro Zone,14.0,71.5,Low,High,4
Micro Zone,14.0,72.0,Moderate,Moderate,4
Micro Zone,14.0,72.5,Moderate,Low,3
Micro Zone,14.0,73.0,Low,High,4
Micro Zone,14.0,73.5,Low,High,4
Micro Zone,14.0,74.0,Low,Moderate,3
Micro Zone,14.0,74.5,Moderate,Moderate,4
Micro Zone,14.0,75.0,Moderate,High,5
Micro Zone,14.0,75.5,Low,Low,2
Micro Zone,14.0,76.0,Moderate,Moderate,4
Micro Zone,14.0,76.5,High,Moderate,5
Micro Zone,14.0,77.0,Low,High,4
Micro Zone,14.0,77.5,High,Moderate,5
Micro Zone,14.0,78.0,Low,Moderate,3
Micro Zone,14.0,78.5,Low,Low,2
Micro Zone,14.0,79.0,High,Moderate,5
Micro Zone,14.0,79.5,Low,High,4
Micro Zone,14.0,80.0,Moderate,Low,3
Micro Zone,14.0,80.5,High,Low,4
Micro Zone,14.0,81.0,High,Moderate,5
Micro Zone,14.0,81.5,High,Moderate,5
Micro Zone,14.0,82.0,Low,Low,2
Micro Zone,14.0,82.5,Low,Moderate,3
Micro Zone,14.0,83.0,High,High,6
Micro Zone,14.0,83.5,Low,Moderate,3
Micro Zone,14.0,84.0,Moderate,High,5
Micro Zone,14.0,84.5,High,Moderate,5
Micro Zone,14.0,85.0,Low,Moderate,3
Micro Zone,14.0,85.5,Moderate,High,5
Micro Zone,14.0,86.0,Low,High,4
Micro Zone,14.0,86.5,High,High,6
Micro Zone,14.0,87.0,High,Moderate,5
Micro Zone,14.0,87.5,High,Moderate,5
Micro Zone,14.0,88.0,Moderate,Moderate,4
Micro Zone,14.0,88.5,Low,Low,2
Micro Zone,14.0,89.0,Low,Moderate,3
Micro Zone,14.0,89.5,Low,Moderate,3
Micro Zone,14.0,90.0,Moderate,Low,3
Micro Zone,14.0,90.5,Low,Low,2
Micro Zone,14.0,91.0,High,Moderate,5
Micro Zone,14.0,91.5,High,High,6
Micro Zone,14.0,92.0,High,Low,4
Micro Zone,14.0,92.5,High,Moderate,5
Micro Zone,14.0,93.0,High,Moderate,5
Micro Zone,14.0,93.5,Low,Moderate,3
Micro Zone,14.0,94.0,Moderate,Moderate,4
Micro Zone,14.0,94.5,Moderate,Low,3
Micro Zone,14.0,95.0,Low,High,4
Micro Zone,14.0,95.5,Moderate,High,5
Micro Zone,14.0,96.0,Moderate,High,5
Micro Zone,14.0,96.5,Low,Moderate,3
Micro Zone,14.5,68.0,High,High,6
Micro Zone,14.5,68.5,Moderate,Moderate,4
Micro Zone,14.5,69.0,Low,Moderate,3
Micro Zone,14.5,69.5,Low,Low,2
Micro Zone,14.5,70.0,Moderate,High,5
Micro Zone,14.5,70.5,High,Moderate,5
Micro Zone,14.5,71.0,Low,High,4
Micro Zone,14.5,71.5,Low,High,4
Micro Zone,14.5,72.0,High,Moderate,5
Micro Zone,14.5,72.5,Moderate,High,5
Micro Zone,14.5,73.0,Moderate,High,5
Micro Zone,14.5,73.5,Moderate,Moderate,4
Micro Zone,14.5,74.0,Moderate,Low,3
Micro Zone,14.5,74.5,High,High,6
Micro Zone,14.5,75.0,Moderate,Moderate,4
Micro Zone,14.5,75.5,Low,High,4
Micro Zone,14.5,76.0,High,Moderate,5
Micro Zone,14.5,76.5,Low,Low,2
Micro Zone,14.5,77.0,Low,High,4
Micro Zone,14.5,77.5,High,Low,4
Micro Zone,14.5,78.0,High,Low,4
Micro Zone,14.5,78.5,Moderate,Low,3
Micro Zone,14.5,79.0,Low,Moderate,3
Micro Zone,14.5,79.5,Low,Low,2
Micro Zone,14.5,80.0,High,Low,4
Micro Zone,14.5,80.5,High,High,6
Micro Zone,14.5,81.0,Low,Low,2
Micro Zone,14.5,81.5,Moderate,High,5
Micro Zone,14.5,82.0,Low,Low,2
Micro Zone,14.5,82.5,Moderate,High,5
Micro Zone,14.5,83.0,High,Moderate,5
Micro Zone,14.5,83.5,Low,High,4
Micro Zone,14.5,84.0,High,Low,4
Micro Zone,14.5,84.5,High,Low,4
Micro Zone,14.5,85.0,High,Low,4
Micro Zone,14.5,85.5,Low,Moderate,3
Micro Zone,14.5,86.0,Moderate,Low,3
Micro Zone,14.5,86.5,High,Moderate,5
Micro Zone,14.5,87.0,High,Low,4
Micro Zone,14.5,87.5,Low,High,4
Micro Zone,14.5,88.0,Low,Moderate,3
Micro Zone,14.5,88.5,Moderate,Low,3
Micro Zone,14.5,89.0,Moderate,Moderate,4
Micro Zone,14.5,89.5,High,Moderate,5
Micro Zone,14.5,90.0,Moderate,Low,3
Micro Zone,14.5,90.5,Moderate,High,5
Micro Zone,14.5,91.0,Low,High,4
Micro Zone,14.5,91.5,High,Low,4
Micro Zone,14.5,92.0,High,Low,4
Micro Zone,14.5,92.5,High,High,6
Micro Zone,14.5,93.0,Low,High,4
Micro Zone,14.5,93.5,Moderate,High,5
Micro Zone,14.5,94.0,High,Moderate,5
Micro Zone,14.5,94.5,Low,Moderate,3
Micro Zone,14.5,95.0,Moderate,Moderate,4
Micro Zone,14.5,95.5,High,Moderate,5
Micro Zone,14.5,96.0,High,Low,4
Micro Zone,14.5,96.5,Low,High,4
Micro Zone,15.0,68.0,Moderate,High,5
Micro Zone,15.0,68.5,High,Low,4
Micro Zone,15.0,69.0,Low,High,4
Micro Zone,15.0,69.5,Low,Moderate,3
Micro Zone,15.0,70.0,Low,Moderate,3
Micro Zone,15.0,70.5,Low,High,4
Micro Zone,15.0,71.0,Low,Moderate,3
Micro Zone,15.0,71.5,Moderate,High,5
Micro Zone,15.0,72.0,Moderate,Moderate,4
Micro Zone,15.0,72.5,High,High,6
Micro Zone,15.0,73.0,Moderate,Moderate,4
Micro Zone,15.0,73.5,Low,Moderate,3
Micro Zone,15.0,74.0,Low,Low,2
Micro Zone,15.0,74.5,Moderate,High,5
Micro Zone,15.0,75.0,Moderate,Moderate,4
Micro Zone,15.0,75.5,Moderate,Low,3
Micro Zone,15.0,76.0,Low,Moderate,3
Micro Zone,15.0,76.5,Moderate,Moderate,4
Micro Zone,15.0,77.0,Low,Moderate,3
Micro Zone,15.0,77.5,High,High,6
Micro Zone,15.0,78.0,Low,High,4
Micro Zone,15.0,78.5,High,High,6
Micro Zone,15.0,79.0,Low,Moderate,3
Micro Zone,15.0,79.5,Moderate,Low,3
Micro Zone,15.0,80.0,Low,Low,2
Micro Zone,15.0,80.5,Moderate,Moderate,4
Micro Zone,15.0,81.0,Low,Low,2
Micro Zone,15.0,81.5,Low,Low,2
Micro Zone,15.0,82.0,Moderate,Moderate,4
Micro Zone,15.0,82.5,Moderate,Moderate,4
Micro Zone,15.0,83.0,Low,High,4
Micro Zone,15.0,83.5,Moderate,High,5
Micro Zone,15.0,84.0,Low,Moderate,3
Micro Zone,15.0,84.5,Moderate,Low,3
Micro Zone,15.0,85.0,Low,Moderate,3
Micro Zone,15.0,85.5,Low,Moderate,3
Micro Zone,15.0,86.0,Low,High,4
Micro Zone,15.0,86.5,Low,Moderate,3
Micro Zone,15.0,87.0,Low,Moderate,3
Micro Zone,15.0,87.5,Low,High,4
Micro Zone,15.0,88.0,Moderate,Moderate,4
Micro Zone,15.0,88.5,Moderate,High,5
Micro Zone,15.0,89.0,Moderate,Moderate,4
Micro Zone,15.0,89.5,High,Moderate,5
Micro Zone,15.0,90.0,High,High,6
Micro Zone,15.0,90.5,Low,Moderate,3
Micro Zone,15.0,91.0,High,High,6
Micro Zone,15.0,91.5,High,Moderate,5
Micro Zone,15.0,92.0,Moderate,Moderate,4
Micro Zone,15.0,92.5,Moderate,Moderate,4
Micro Zone,15.0,93.0,High,High,6
Micro Zone,15.0,93.5,Low,High,4
Micro Zone,15.0,94.0,Moderate,High,5
Micro Zone,15.0,94.5,Moderate,High,5
Micro Zone,15.0,95.0,High,Low,4
Micro Zone,15.0,95.5,High,High,6
Micro Zone,15.0,96.0,Low,High,4
Micro Zone,15.0,96.5,Moderate,Moderate,4
Micro Zone,15.5,68.0,Moderate,High,5
Micro Zone,15.5,68.5,Low,High,4
Micro Zone,15.5,69.0,Low,Moderate,3
Micro Zone,15.5,69.5,Low,Moderate,3
Micro Zone,15.5,70.0,High,Moderate,5
Micro Zone,15.5,70.5,Low,High,4
Micro Zone,15.5,71.0,High,High,6
Micro Zone,15.5,71.5,Low,Moderate,3
Micro Zone,15.5,72.0,Low,Moderate,3
Micro Zone,15.5,72.5,Low,Moderate,3
Micro Zone,15.5,73.0,High,High,6
Micro Zone,15.5,73.5,High,Moderate,5
Micro Zone,15.5,74.0,High,Moderate,5
Micro Zone,15.5,74.5,Moderate,Moderate,4
Micro Zone,15.5,75.0,Moderate,Moderate,4
Micro Zone,15.5,75.5,Moderate,Moderate,4
Micro Zone,15.5,76.0,Moderate,High,5
Micro Zone,15.5,76.5,Low,High,4
Micro Zone,15.5,77.0,Low,Low,2
Micro Zone,15.5,77.5,Moderate,High,5
Micro Zone,15.5,78.0,Low,High,4
Micro Zone,15.5,78.5,Low,Moderate,3
Micro Zone,15.5,79.0,Low,Low,2
Micro Zone,15.5,79.5,Low,Moderate,3
Micro Zone,15.5,80.0,High,Low,4
Micro Zone,15.5,80.5,Moderate,Moderate,4
Micro Zone,15.5,81.0,Low,Moderate,3
Micro Zone,15.5,81.5,Moderate,High,5
Micro Zone,15.5,82.0,Low,High,4
Micro Zone,15.5,82.5,Low,High,4
Micro Zone,15.5,83.0,High,High,6
Micro Zone,15.5,83.5,Low,Moderate,3
Micro Zone,15.5,84.0,Low,Moderate,3
Micro Zone,15.5,84.5,Low,Low,2
Micro Zone,15.5,85.0,Moderate,Moderate,4
Micro Zone,15.5,85.5,High,High,6
Micro Zone,15.5,86.0,Low,High,4
Micro Zone,15.5,86.5,High,High,6
Micro Zone,15.5,87.0,Low,Moderate,3
Micro Zone,15.5,87.5,Low,High,4
Micro Zone,15.5,88.0,Moderate,High,5
Micro Zone,15.5,88.5,Moderate,Moderate,4
Micro Zone,15.5,89.0,High,High,6
Micro Zone,15.5,89.5,Moderate,High,5
Micro Zone,15.5,90.0,Low,Moderate,3
Micro Zone,15.5,90.5,Moderate,High,5
Micro Zone,15.5,91.0,Moderate,High,5
Micro Zone,15.5,91.5,Moderate,High,5
Micro Zone,15.5,92.0,High,Low,4
Micro Zone,15.5,92.5,Low,High,4
Micro Zone,15.5,93.0,Low,Moderate,3
Micro Zone,15.5,93.5,Low,High,4
Micro Zone,15.5,94.0,Low,Moderate,3
Micro Zone,15.5,94.5,Low,High,4
Micro Zone,15.5,95.0,Low,Moderate,3
Micro Zone,15.5,95.5,Low,Moderate,3
Micro Zone,15.5,96.0,Moderate,Moderate,4
Micro Zone,15.5,96.5,Moderate,Low,3
Micro Zone,16.0,68.0,Low,Moderate,3
Micro Zone,16.0,68.5,High,High,6
Micro Zone,16.0,69.0,High,Low,4
Micro Zone,16.0,69.5,Low,Moderate,3
Micro Zone,16.0,70.0,Low,Low,2
Micro Zone,16.0,70.5,Moderate,Low,3
Micro Zone,16.0,71.0,Low,High,4
Micro Zone,16.0,71.5,Low,High,4
Micro Zone,16.0,72.0,Low,High,4
Micro Zone,16.0,72.5,Moderate,High,5
Micro Zone,16.0,73.0,High,Moderate,5
Micro Zone,16.0,73.5,High,Moderate,5
Micro Zone,16.0,74.0,Low,Moderate,3
Micro Zone,16.0,74.5,Moderate,Moderate,4
Micro Zone,16.0,75.0,Moderate,Low,3
Micro Zone,16.0,75.5,High,High,6
Micro Zone,16.0,76.0,Moderate,High,5
Micro Zone,16.0,76.5,Low,Low,2
Micro Zone,16.0,77.0,Moderate,Moderate,4
Micro Zone,16.0,77.5,Low,Moderate,3
Micro Zone,16.0,78.0,High,High,6
Micro Zone,16.0,78.5,High,High,6
Micro Zone,16.0,79.0,Moderate,High,5
Micro Zone,16.0,79.5,Low,Moderate,3
Micro Zone,16.0,80.0,Low,Low,2
Micro Zone,16.0,80.5,Moderate,Moderate,4
Micro Zone,16.0,81.0,Low,Moderate,3
Micro Zone,16.0,81.5,Low,Moderate,3
Micro Zone,16.0,82.0,Low,High,4
Micro Zone,16.0,82.5,High,Low,4
Micro Zone,16.0,83.0,Low,High,4
Micro Zone,16.0,83.5,High,Moderate,5
Micro Zone,16.0,84.0,Low,High,4
Micro Zone,16.0,84.5,Low,Moderate,3
Micro Zone,16.0,85.0,Moderate,Moderate,4
Micro Zone,16.0,85.5,Moderate,Moderate,4
Micro Zone,16.0,86.0,Moderate,Low,3
Micro Zone,16.0,86.5,Low,High,4
Micro Zone,16.0,87.0,Low,High,4
Micro Zone,16.0,87.5,Low,Moderate,3
Micro Zone,16.0,88.0,High,Moderate,5
Micro Zone,16.0,88.5,High,Moderate,5
Micro Zone,16.0,89.0,High,Moderate,5
Micro Zone,16.0,89.5,Moderate,High,5
Micro Zone,16.0,90.0,Moderate,High,5
Micro Zone,16.0,90.5,Low,High,4
Micro Zone,16.0,91.0,High,Moderate,5
Micro Zone,16.0,91.5,High,High,6
Micro Zone,16.0,92.0,Low,Low,2
Micro Zone,16.0,92.5,Moderate,Moderate,4
Micro Zone,16.0,93.0,Moderate,High,5
Micro Zone,16.0,93.5,Moderate,Moderate,4
Micro Zone,16.0,94.0,Moderate,High,5
Micro Zone,16.0,94.5,Moderate,Moderate,4
Micro Zone,16.0,95.0,Moderate,High,5
Micro Zone,16.0,95.5,Moderate,High,5
Micro Zone,16.0,96.0,Low,Moderate,3
Micro Zone,16.0,96.5,Low,Low,2
Micro Zone,16.5,68.0,Low,High,4
Micro Zone,16.5,68.5,High,High,6
Micro Zone,16.5,69.0,Low,High,4
Micro Zone,16.5,69.5,High,High,6
Micro Zone,16.5,70.0,Low,Moderate,3
Micro Zone,16.5,70.5,High,Moderate,5
Micro Zone,16.5,71.0,Low,Low,2
Micro Zone,16.5,71.5,Moderate,Moderate,4
Micro Zone,16.5,72.0,Moderate,Low,3
Micro Zone,16.5,72.5,Moderate,Moderate,4
Micro Zone,16.5,73.0,Moderate,High,5
Micro Zone,16.5,73.5,Low,High,4
Micro Zone,16.5,74.0,Low,Moderate,3
Micro Zone,16.5,74.5,High,Moderate,5
Micro Zone,16.5,75.0,High,Moderate,5
Micro Zone,16.5,75.5,High,Low,4
Micro Zone,16.5,76.0,High,Moderate,5
Micro Zone,16.5,76.5,High,Low,4
Micro Zone,16.5,77.0,High,High,6
Micro Zone,16.5,77.5,High,Moderate,5
Micro Zone,16.5,78.0,Moderate,High,5
Micro Zone,16.5,78.5,High,Low,4
Micro Zone,16.5,79.0,High,High,6
Micro Zone,16.5,79.5,Low,Low,2
Micro Zone,16.5,80.0,High,High,6
Micro Zone,16.5,80.5,Moderate,High,5
Micro Zone,16.5,81.0,Low,Moderate,3
Micro Zone,16.5,81.5,Low,Moderate,3
Micro Zone,16.5,82.0,Low,High,4
Micro Zone,16.5,82.5,Low,Moderate,3
Micro Zone,16.5,83.0,High,High,6
Micro Zone,16.5,83.5,Moderate,Moderate,4
Micro Zone,16.5,84.0,Low,Low,2
Micro Zone,16.5,84.5,High,Low,4
Micro Zone,16.5,85.0,High,Moderate,5
Micro Zone,16.5,85.5,Moderate,High,5
Micro Zone,16.5,86.0,Low,Moderate,3
Micro Zone,16.5,86.5,High,Low,4
Micro Zone,16.5,87.0,Low,High,4
Micro Zone,16.5,87.5,Low,High,4
Micro Zone,16.5,88.0,Low,High,4
Micro Zone,16.5,88.5,Low,Moderate,3
Micro Zone,16.5,89.0,High,High,6
Micro Zone,16.5,89.5,Low,Moderate,3
Micro Zone,16.5,90.0,High,Moderate,5
Micro Zone,16.5,90.5,High,Moderate,5
Micro Zone,16.5,91.0,High,Low,4
Micro Zone,16.5,91.5,Low,High,4
Micro Zone,16.5,92.0,High,High,6
Micro Zone,16.5,92.5,High,High,6
Micro Zone,16.5,93.0,High,Moderate,5
Micro Zone,16.5,93.5,Moderate,High,5
Micro Zone,16.5,94.0,Moderate,High,5
Micro Zone,16.5,94.5,Low,Moderate,3
Micro Zone,16.5,95.0,High,Moderate,5
Micro Zone,16.5,95.5,Low,Moderate,3
Micro Zone,16.5,96.0,High,Moderate,5
Micro Zone,16.5,96.5,Low,Low,2
Micro Zone,17.0,68.0,High,High,6
Micro Zone,17.0,68.5,Low,Moderate,3
Micro Zone,17.0,69.0,High,Low,4
Micro Zone,17.0,69.5,Low,Moderate,3
Micro Zone,17.0,70.0,High,Moderate,5
Micro Zone,17.0,70.5,Low,Moderate,3
Micro Zone,17.0,71.0,High,High,6
Micro Zone,17.0,71.5,Moderate,Moderate,4
Micro Zone,17.0,72.0,Low,Low,2
Micro Zone,17.0,72.5,High,Low,4
Micro Zone,17.0,73.0,Low,Low,2
Micro Zone,17.0,73.5,Low,Low,2
Micro Zone,17.0,74.0,Moderate,High,5
Micro Zone,17.0,74.5,Low,High,4
Micro Zone,17.0,75.0,High,Moderate,5
Micro Zone,17.0,75.5,Low,High,4
Micro Zone,17.0,76.0,Moderate,Low,3
Micro Zone,17.0,76.5,High,Low,4
Micro Zone,17.0,77.0,Low,High,4
Micro Zone,17.0,77.5,High,Low,4
Micro Zone,17.0,78.0,Moderate,High,5
Micro Zone,17.0,78.5,Moderate,High,5
Micro Zone,17.0,79.0,Low,High,4
Micro Zone,17.0,79.5,Low,High,4
Micro Zone,17.0,80.0,High,Moderate,5
Micro Zone,17.0,80.5,Moderate,Moderate,4
Micro Zone,17.0,81.0,High,Moderate,5
Micro Zone,17.0,81.5,Moderate,Moderate,4
Micro Zone,17.0,82.0,High,Moderate,5
Micro Zone,17.0,82.5,Moderate,Moderate,4
Micro Zone,17.0,83.0,Low,Low,2
Micro Zone,17.0,83.5,Moderate,High,5
Micro Zone,17.0,84.0,Moderate,Low,3
Micro Zone,17.0,84.5,High,High,6
Micro Zone,17.0,85.0,High,Moderate,5
Micro Zone,17.0,85.5,Low,Moderate,3
Micro Zone,17.0,86.0,High,High,6
Micro Zone,17.0,86.5,High,Low,4
Micro Zone,17.0,87.0,High,Low,4
Micro Zone,17.0,87.5,Moderate,Moderate,4
Micro Zone,17.0,88.0,High,High,6
Micro Zone,17.0,88.5,Moderate,Moderate,4
Micro Zone,17.0,89.0,Moderate,High,5
Micro Zone,17.0,89.5,Low,High,4
Micro Zone,17.0,90.0,Low,Moderate,3
Micro Zone,17.0,90.5,High,Moderate,5
Micro Zone,17.0,91.0,Low,Moderate,3
Micro Zone,17.0,91.5,High,Low,4
Micro Zone,17.0,92.0,Low,Low,2
Micro Zone,17.0,92.5,Low,Moderate,3
Micro Zone,17.0,93.0,Low,Moderate,3
Micro Zone,17.0,93.5,Moderate,Moderate,4
Micro Zone,17.0,94.0,Low,Moderate,3
Micro Zone,17.0,94.5,Low,Moderate,3
Micro Zone,17.0,95.0,Low,Moderate,3
Micro Zone,17.0,95.5,Moderate,Low,3
Micro Zone,17.0,96.0,Moderate,Low,3
Micro Zone,17.0,96.5,High,Moderate,5
Micro Zone,17.5,68.0,Low,High,4
Micro Zone,17.5,68.5,Low,High,4
Micro Zone,17.5,69.0,Moderate,Moderate,4
Micro Zone,17.5,69.5,Low,High,4
Micro Zone,17.5,70.0,Low,Moderate,3
Micro Zone,17.5,70.5,High,Moderate,5
Micro Zone,17.5,71.0,High,Moderate,5
Micro Zone,17.5,71.5,Moderate,Low,3
Micro Zone,17.5,72.0,High,High,6
Micro Zone,17.5,72.5,Low,Moderate,3
Micro Zone,17.5,73.0,Moderate,Moderate,4
Micro Zone,17.5,73.5,Low,Low,2
Micro Zone,17.5,74.0,Low,High,4
Micro Zone,17.5,74.5,Low,High,4
Micro Zone,17.5,75.0,Moderate,Low,3
Micro Zone,17.5,75.5,High,High,6
Micro Zone,17.5,76.0,Low,High,4
Micro Zone,17.5,76.5,Low,High,4
Micro Zone,17.5,77.0,High,Moderate,5
Micro Zone,17.5,77.5,Moderate,High,5
Micro Zone,17.5,78.0,Low,Low,2
Micro Zone,17.5,78.5,High,Moderate,5
Micro Zone,17.5,79.0,Low,Moderate,3
Micro Zone,17.5,79.5,Low,Low,2
Micro Zone,17.5,80.0,High,Moderate,5
Micro Zone,17.5,80.5,High,Moderate,5
Micro Zone,17.5,81.0,Low,Moderate,3
Micro Zone,17.5,81.5,Moderate,High,5
Micro Zone,17.5,82.0,Moderate,High,5
Micro Zone,17.5,82.5,High,Moderate,5
Micro Zone,17.5,83.0,Low,Low,2
Micro Zone,17.5,83.5,Low,High,4
Micro Zone,17.5,84.0,Low,Moderate,3
Micro Zone,17.5,84.5,Low,Moderate,3
Micro Zone,17.5,85.0,Moderate,Moderate,4
Micro Zone,17.5,85.5,Low,Low,2
Micro Zone,17.5,86.0,Moderate,Low,3
Micro Zone,17.5,86.5,Low,High,4
Micro Zone,17.5,87.0,Low,High,4
Micro Zone,17.5,87.5,Moderate,Moderate,4
Micro Zone,17.5,88.0,Moderate,Low,3
Micro Zone,17.5,88.5,Moderate,Low,3
Micro Zone,17.5,89.0,Low,High,4
Micro Zone,17.5,89.5,Moderate,High,5
Micro Zone,17.5,90.0,Low,High,4
Micro Zone,17.5,90.5,Moderate,Moderate,4
Micro Zone,17.5,91.0,High,Moderate,5
Micro Zone,17.5,91.5,Low,Low,2
Micro Zone,17.5,92.0,Low,Moderate,3
Micro Zone,17.5,92.5,Low,Moderate,3
Micro Zone,17.5,93.0,Moderate,High,5
Micro Zone,17.5,93.5,Low,Low,2
Micro Zone,17.5,94.0,Low,High,4
Micro Zone,17.5,94.5,Low,Moderate,3
Micro Zone,17.5,95.0,Low,High,4
Micro Zone,17.5,95.5,Low,Moderate,3
Micro Zone,17.5,96.0,Moderate,Moderate,4
Micro Zone,17.5,96.5,Moderate,Moderate,4
Micro Zone,18.0,68.0,High,High,6
Micro Zone,18.0,68.5,Low,Low,2
Micro Zone,18.0,69.0,High,Moderate,5
Micro Zone,18.0,69.5,High,High,6
Micro Zone,18.0,70.0,Low,Low,2
Micro Zone,18.0,70.5,Moderate,Moderate,4
Micro Zone,18.0,71.0,Low,High,4
Micro Zone,18.0,71.5,Moderate,Moderate,4
Micro Zone,18.0,72.0,Low,Moderate,3
Micro Zone,18.0,72.5,Low,Moderate,3
Micro Zone,18.0,73.0,High,High,6
Micro Zone,18.0,73.5,Low,High,4
Micro Zone,18.0,74.0,High,Low,4
Micro Zone,18.0,74.5,High,Moderate,5
Micro Zone,18.0,75.0,High,Moderate,5
Micro Zone,18.0,75.5,Moderate,Low,3
Micro Zone,18.0,76.0,Low,Low,2
